Address,Balance
osmo1th48kysdf9ruazjpzxqcezhjshj2gyyexnf36n,7359048
osmo1sdhal4ddnqnnqp8d5ymz3nzh9utsw2el2de6vv,2472
osmo1cjzdhczqjwv3x3hr880jagla03t0wyy63qs283,1080
osmo1qp8k2gkxwkwnrshpa2ty02qv7dm7jzq8jayrgg,899448388
osmo1r23f02p0yvmlj58vc4hq726udd64s0v2yz2k6j,1014863511
osmo18dy8jafndmdexea7z3q3ap30sud0lnwfhrtl9g,19473021942
osmo1sdkwqdys653gnhxnc49es0m66tqx5q3mfjcwkh,55751995450
osmo1jrr2ak54fg2pr63mlmsmpq2se04n4scdqhql6c,13517
osmo1nh8r3fka9amu4dvzf5r3lsyyx8xqm74cgupkf4,65934239
osmo1hw2z867lxccnmafh5fkuvzwfl8a4za22mf64xa,1973756878
osmo1p9anucyfm7y0vq8lx02yuuw5rlk9c5fl4z9k4m,583948605
osmo19wtf7cprxt8sw9j0ugz35t65xt68epxg3688vh,183115000
osmo1xgjzjc88e9zszldzdvzwmsgl56tjhe00zcqzly,53508775147
osmo1mvqa44l3v6zktup920g57u5z38395zzfd8uxmz,1759850329
osmo16x03wcp37kx5e8ehckjxvwcgk9j0cqnhm8m3yy,125235202724
osmo1zh78mfn5y2ep9rcktcm77mm93c20v39fk25rvk,2715990418
osmo10jvwfyv02ct5cne3j8qkdz6j3p99t4jcaxy3wk,4163054299
osmo1spc9r5lgnflv5zh3dc3npq5qwmy9qc93dq7fcq,1012490741
osmo1h5ycaxfms2xw06vw0dfpwgtku5wghmdvqyjyhq,124870168
osmo19wudccumhqhug2jkrvzp0tvum7ukr0sjwekqhg,302148536
osmo1sdjrt7jtgdqt0vfu7wgeec33cmlzr6y7n6ljz8,1837000000
osmo155cprx8su89u09kejec2p50pjhlwverkf7e4kp,47000000
osmo16qvszgk5xhfx8tmtx95n4lnqsuk00xx6ajdaux,433120116
osmo17x7a9n4tvj50s4wutv09vs6nluww6zla7ywh5n,4382428531
osmo17hsa8rrwm7ryk0kjpyen954734rxg3lhuuhqvx,20494532141
osmo1t33ejq53gnqxxphj8cn530vnwn9fhss88l0h4t,2093858384
osmo10lhl25cq45h396q2vt2js4dvua5dxz0lyl2kng,82969644656
osmo13uup3md785lsd74aws4hx2et052mferw8n6yat,60871896995
osmo1u5r0j0jytzk2c5z5wswlzy4h385elwwx9j9clc,15853972
osmo17f293lk6f4kvrf34vpkqfrasknm5qs2h3wawyc,6373964698
osmo1fhs384fxzqcc2jw63hktfdlpfushzs5qytcg9j,1162883626
osmo1tcfmmqrxrckeqx4du2yt2h7dygeu402sjgj7rh,59102633
osmo1nwxrnkwskn2smzr09mx3kv9gg6lqzmva8m5n8u,78000000
osmo10clny2fsmhyftqun5x330qhgaurmuakvy70flt,42231447031
osmo1j347j6uaktmyrs76wn4h6nfe2qtrvclplnhuz0,1097207377
osmo1m3mf2t06jz8u5vf9zx8rahwfdnes9x3n738zpx,3740
osmo1rxm732r6t29fmhcgvy4uzrulamxn0lj4sz63rs,6352161604
osmo1c5qt46w636me3n30m03y4e9glkqfr9lxgrhrgf,143008542
osmo1ypf4z3e77y3rufas768h3gr00kswug0euwz0tk,324981211
osmo1nd86lwg7se890hau65eeq6ru9cxunc53wxeux0,14481053
osmo1mdc2va855zu5s5n37k3yt3ag7ur06nkn0rf666,490682583
osmo1sz8t9sm3pwgeqdfkzm4jgwlkuqjaud0f2ym2kn,361190508
osmo1kstnxtf475n2sv5vnmq9t32dhxju535c4tgyrc,9976216977
osmo1cg04munrjk3juf7uqy24hwq8hut4nmeusyhhfa,1513673715
osmo1dshe6gyn987mkqcxqezx0g3qv56zav3xjx33ed,6751974
osmo1w875kdjh3yxxdurrctu2ze7hjm8mdp9qwtefnz,1
osmo1s7kj8q23kkz2jcfuurrdl7d759lw9m58293c7k,5688853987
osmo15dymd0ms29fgngte4n7aadeapyjvx6tqdfmqxt,158152011
osmo14xw49jyvysl3809ztckstdf4xg6k3yhf4t54ru,3908925967
osmo1qp2mr067tlpldugg4nkqcze6680uhrs2wlghnt,373034282
